Date,Id,suburb,postalCode,sellPrice,bed,bath,car,propType
2016-02-10,342,Bilgola Plateau,2107,1400000,5.0,3,2.0,house
2016-02-10,343,Bilgola Plateau,2107,1310000,3.0,1,1.0,house
2016-02-06,344,Avalon Beach,2107,1412000,3.0,2,2.0,house
2016-02-06,345,Avalon Beach,2107,1380000,4.0,3,2.0,house
2016-02-05,346,Avalon Beach,2107,1725000,4.0,2,2.0,house
2016-02-05,347,Avalon Beach,2107,1190000,3.0,2,1.0,house
2016-02-05,348,Bilgola Plateau,2107,1185000,4.0,2,3.0,house
2016-01-22,349,Avalon Beach,2107,1650500,4.0,3,2.0,house
2016-01-11,350,Avalon Beach,2107,1395000,3.0,2,2.0,house
2015-12-24,351,Avalon Beach,2107,1355000,4.0,2,2.0,house
2015-12-18,352,Avalon Beach,2107,1330000,4.0,3,2.0,house
2015-12-12,353,Avalon Beach,2107,1500000,4.0,2,2.0,house
2015-12-11,354,Whale Beach,2107,2300000,4.0,2,2.0,house
2015-12-11,355,Bilgola Plateau,2107,1905000,5.0,3,4.0,house
2015-12-11,356,Avalon Beach,2107,1450000,3.0,2,3.0,house
2015-12-10,357,Avalon Beach,2107,1040000,2.0,1,1.0,house
2015-11-27,358,Avalon Beach,2107,3255000,3.0,2,3.0,house
2015-11-27,359,Bilgola Plateau,2107,1810000,4.0,2,2.0,house
2015-11-27,360,Avalon Beach,2107,1225000,4.0,3,2.0,house
2015-11-27,361,Avalon Beach,2107,1150000,3.0,1,3.0,house
2015-11-27,362,Avalon Beach,2107,1100000,3.0,1,,house
2015-11-25,363,Avalon Beach,2107,1650000,4.0,2,2.0,house
2015-11-21,364,Avalon Beach,2107,980000,2.0,1,,house
2015-11-20,365,Avalon Beach,2107,1610000,5.0,3,2.0,house
2015-11-19,366,Avalon Beach,2107,1180000,3.0,1,2.0,house
2015-11-18,367,Bilgola Beach,2107,2175000,4.0,3,2.0,house
2015-11-18,368,Avalon Beach,2107,1555000,4.0,2,2.0,house
2015-11-17,369,Avalon Beach,2107,3050000,5.0,4,2.0,house
2015-11-13,370,Bilgola Plateau,2107,1385000,4.0,2,2.0,house
2015-11-11,371,Avalon Beach,2107,2050000,4.0,3,5.0,house
2015-11-10,372,Avalon Beach,2107,1610000,5.0,4,2.0,house
2015-11-07,373,Avalon Beach,2107,1370000,2.0,1,1.0,house
2015-11-07,374,Avalon Beach,2107,1177000,2.0,1,1.0,house
2015-11-06,375,Avalon Beach,2107,1650000,4.0,2,2.0,house
2015-11-05,376,Avalon Beach,2107,1375000,3.0,1,2.0,house
2015-11-04,377,Avalon Beach,2107,5700000,6.0,5,3.0,house
2015-11-04,378,Avalon Beach,2107,2050000,4.0,3,2.0,house
2015-11-04,379,Bilgola Plateau,2107,1400000,4.0,2,2.0,house
